Name	Net Worth	Age	Residence	Source
Bill Gates	$81 B	61	Medina, WA	Microsoft
Jeff Bezos	$67 B	53	Seattle, WA	Amazon.com
Warren Buffett	$65.5 B	86	Omaha, NE	Berkshire Hathaway
Mark Zuckerberg	$55.5 B	32	Palo Alto, CA	Facebook
Larry Ellison	$49.3 B	72	Woodside, CA	Oracle
Michael Bloomberg	$45 B	75	New York, NY	Bloomberg LP
Charles Koch	$42 B	81	Wichita, KS	diversified
David Koch	$42 B	76	New York, NY	diversified
Larry Page	$38.5 B	44	Palo Alto, CA	Google
Sergey Brin	$37.5 B	43	Los Altos, CA	Google
Jim Walton	$35.6 B	68	Bentonville, AR	Wal-Mart
S. Robson Walton	$35.5 B	72	Bentonville, AR	Wal-Mart
Alice Walton	$35.4 B	67	Fort Worth, TX	Wal-Mart
Sheldon Adelson	$31.8 B	83	Las Vegas, NV	casinos
Steve Ballmer	$27.5 B	61	Hunts Point, WA	Microsoft
Jacqueline Mars	$27 B	77	The Plains, VA	candy
John Mars	$27 B	81	Jackson, WY	candy
Phil Knight	$25.5 B	79	Hillsboro, OR	Nike
George Soros	$24.9 B	86	Katonah, NY	hedge funds
Michael Dell	$20 B	52	Austin, TX	Dell computers
Paul Allen	$18.9 B	64	Mercer Island, WA	Microsoft, investments
Len Blavatnik	$18.2 B	59	London	diversified
Laurene Powell Jobs	$17.7 B	53	Palo Alto, CA	Apple, Disney
James Simons	$16.5 B	78	East Setauket, NY	hedge funds
Ray Dalio	$15.9 B	67	Greenwich, CT	hedge funds
Carl Icahn	$15.7 B	81	New York, NY	investments
Donald Bren	$15.2 B	84	Newport Beach, CA	real estate
Charles Ergen	$14.7 B	64	Denver, CO	satellite TV
Abigail Johnson	$13.2 B	55	Milton, MA	money management
Harold Hamm	$13.1 B	71	Oklahoma City, OK	oil & gas
Steve Cohen	$13 B	60	Greenwich, CT	hedge funds
Thomas Peterffy	$12.6 B	72	Palm Beach, FL	discount brokerage
Ronald Perelman	$12.2 B	74	New York, NY	leveraged buyouts
Elon Musk	$11.6 B	45	Los Angeles, CA	Tesla Motors
David Tepper	$11.4 B	59	Miami Beach, FL	hedge funds
